DATADATE,TYPE,TOTAL,DEAL,NONDEAL
03/04/2019,AOM ORDERLINES,178481, , 
03/04/2019,LEG ORDERLINES,15320, , 
03/04/2019,CANCELLATIONS,26360,25452,908
03/04/2019,LINES TO SPLITTER,195958, , 
