"name","type","value"
"imagefound","BOOLEAN","false"
"tweet","STRING","""Great news' Welcome our latest partner
@ISG_News. Looking forward to collaborating
on Al-driven #RPA and
#lntelligentAutomation transformation to
bring greater value to the enterprise.
#automatefurther"""
